year,airport_code_std,enplanements_counterfactual
2000,0AK,4195.204262506333
2000,16A,2675.68909213203
2000,1G4,26715.493499279022
2000,2A9,3736.444207481807
2000,A61,3813.073367581237
2000,ABE,498334.12231862545
2000,ABI,54594.31678041816
2000,ABQ,3209689.1415913105
2000,ABR,25780.996846219525
2000,ABY,36756.35349868648
2000,ACK,283764.9149670601
2000,ACT,61517.314043194056
2000,ACV,107374.80605501682
2000,ACY,409635.4414150417
2000,ADQ,63329.2202590704
2000,AEX,115376.40951320528
2000,AGS,154008.08797451854
2000,AKN,42349.19105280284
2000,AKP,2614.321523160208
2000,ALB,1492933.8385123909
2000,ALO,48464.64344732463
2000,ALS,4986.494507167721
2000,ALW,25601.34250874445
2000,AMA,432655.15432178974
2000,ANC,2398896.7847317755
2000,ANI,19831.281472753733
2000,AOO,11849.860027512535
2000,APN,10083.464248670263
2000,AQH,4575.112641760148
2000,ASE,190462.54125085473
2000,ATL,37549440.40908241
2000,ATW,271682.2888305783
2000,ATY,7124.243081312627
2000,AUG,5358.068223662674
2000,AUK,3873.693873358163
2000,AUS,3124977.529542446
2000,AVL,255214.43361222744
2000,AVP,190618.16163358465
2000,AWI,3455.0254931761883
2000,AZO,254682.1892194003
2000,BDL,3492352.1011493206
2000,BET,131664.42822249793
2000,BFD,8732.463982807472
2000,BFF,11711.383520411327
2000,BFI,15816.361864060163
2000,BFL,123951.52507665752
2000,BGM,130170.21740995347
2000,BGR,302712.8202880621
2000,BHB,12080.876047556289
2000,BHM,1521762.9904742837
2000,BID,7860.042703183368
2000,BIL,356202.7485125959
2000,BIS,128711.82121956348
2000,BJI,28889.184357818216
2000,BLI,12322.034762263298
2000,BLV,8489.266205191612
2000,BMI,226084.22546938065
2000,BNA,4103942.875620842
2000,BOI,1445720.9762694985
2000,BOS,10926723.776734352
2000,BPT,69545.1792485714
2000,BQK,27936.989518288523
2000,BQN,38360.72024601698
2000,BRD,19687.03527905792
2000,BRL,10676.702250186354
2000,BRO,58220.36715950677
2000,BRW,34311.02925698366
2000,BTM,46081.47852320783
2000,BTR,401284.0626151562
2000,BTV,544210.1839564443
2000,BUF,2135634.3852496147
2000,BUR,2514466.1254473925
2000,BVK,3510.579500240274
2000,BWI,9465779.551709652
2000,BZN,244021.49268364903
2000,CAE,594760.2702566236
2000,CAK,439437.3914093971
2000,CDB,8622.724419876933
2000,CDC,9401.505828849971
2000,CDV,19922.592032242566
2000,CEC,13221.040896145629
2000,CEZ,8265.666554908268
2000,CFK,2801.5854160315357
2000,CGI,8171.919085109606
2000,CHA,238018.2260089517
2000,CHO,156669.0921676457
2000,CHS,726564.6518847942
2000,CID,460716.742201671
2000,CIU,13140.407800726593
2000,CKB,11349.455035671592
2000,CLE,5844323.765599191
2000,CLL,79957.91777767241
2000,CLT,10354949.323046684
2000,CMH,3272169.685527146
2000,CMI,122784.2504874263
2000,CMX,27386.048412171192
2000,CNM,5541.986435378902
2000,CNY,2260.8209902606905
2000,COD,23205.696730680764
2000,COS,1145742.5029472038
2000,COU,16580.639309346676
2000,CPR,59286.01098557934
2000,CRP,415631.07232147455
2000,CRQ,67256.54661653284
2000,CRW,273778.3961393535
2000,CSG,71229.12623088807
2000,CVG,11700726.269227505
2000,CWA,150070.7899711579
2000,CYS,21172.902653601952
2000,D76,5385.043234994635
2000,DAB,257572.71742481735
2000,DAL,2575455.8672614098
2000,DAY,1229292.4861326218
2000,DBQ,51029.72397601046
2000,DCA,6053024.3276667595
2000,DDC,4132.474255695008
2000,DEC,14113.460531329736
2000,DEN,17128363.85159278
2000,DFW,26066537.19861889
2000,DHN,66175.81968263537
2000,DIK,-1113.796340784058
2000,DLG,44564.173874093045
2000,DLH,139637.04314179718
2000,DRO,77265.7841318436
2000,DSM,827369.035456717
2000,DTW,16566600.600865126
2000,DUJ,12612.498192228377
2000,DUT,30062.859684017953
2000,DUY,2953.784667157568
2000,DVL,2264.9773390602786
2000,EAR,8345.69474134827
2000,EAT,41501.88925239816
2000,EAU,22788.46610803809
2000,EEK,2730.692151910509
2000,EGE,186179.10059431195
2000,EKO,104747.63254073262
2000,ELM,88813.94893947244
2000,ELP,1594263.487661317
2000,ENA,93745.3914748719
2000,ENM,6786.167444108054
2000,ERI,160871.3046329543
2000,ESC,11592.36128237471
2000,EUG,325021.99833515286
2000,EVV,236298.09780289233
2000,EWN,73722.28524561226
2000,EWR,15323757.54847622
2000,EYW,277306.5160911083
2000,FAI,376840.37680583633
2000,FAR,219716.6866040789
2000,FAT,483698.66834014654
2000,FAY,120168.88290040196
2000,FHR,17119.97297800891
2000,FLG,32233.283391550183
2000,FLL,8030781.054860115
2000,FLO,43798.36633584648
2000,FNT,416559.44851112366
2000,FOD,9590.865001599304
2000,FSD,303729.3098490238
2000,FSM,94175.59666361289
2000,FWA,307742.63914990425
2000,FYU,9650.369554089848
2000,GAL,11212.328340123408
2000,GAM,3693.9426155844703
2000,GCC,11098.97594191879
2000,GCK,6221.154933638871
2000,GEG,1463220.542797923
2000,GFK,75650.31969191879
2000,GGG,30038.203144811097
2000,GJT,117061.79316639157
2000,GLH,11709.220137845492
2000,GNV,124968.53273668884
2000,GPI,154935.1218008697
2000,GPT,450285.09654797614
2000,GRB,390949.83950430155
2000,GRI,-2620.777374222874
2000,GRK,131260.12278413773
2000,GRO,37297.41756360978
2000,GRR,949855.084519744
2000,GSN,552371.7822415829
2000,GSO,1414072.6688008308
2000,GSP,717393.5771254301
2000,GST,11440.511250873096
2000,GTF,129370.18039369395
2000,GTR,39215.397995732725
2000,GUC,46737.15897326125
2000,GUM,1419097.7463341951
2000,HDN,114424.24595712124
2000,HGR,19222.69427201152
2000,HIB,9776.022426435724
2000,HLA,3260.270490941177
2000,HLN,76626.60838068649
2000,HNH,9135.517574373924
2000,HNL,9974008.517071009
2000,HNS,8403.122569669038
2000,HOM,32108.04417483509
2000,HOU,3690462.016479492
2000,HPB,5653.186226518359
2000,HPN,409619.799074769
2000,HRL,457063.38184040785
2000,HRO,2855.208410644904
2000,HSV,533187.7074439824
2000,HTS,37656.01366055012
2000,HVN,33809.59435523301
2000,HXD,85985.99868828803
2000,HYA,207451.8099105656
2000,HYS,7114.172087208062
2000,IAD,9212711.40092659
2000,IAH,16255809.299452782
2000,IAN,3851.874334973516
2000,ICT,614795.8919021189
2000,IDA,117411.30404905976
2000,IIK,5470.676646848908
2000,ILI,9771.27858591196
